,B_mag,Proton_Temp,Proton_dens,Plasma_speed,AP_ratio,Flow_pres,E,Alfven_MN,Kp,R,DST,AE_index,Proton_flux1,Proton_flux2,Proton_flux4,Proton_flux10,Proton_flux30,Proton_flux60,Ap,PC_index,AL_index,AU_index,Mag_MN
1981.604,5.02,103651.69,6.66,421.96,0.06,2.33,0.04,7.49,24.74,196.87,-20.17,235.39,174.27,71.0,20.38,3.98,0.81,0.54,15.44,1.1,-134.34,100.06,4.96
1981.6070000000002,5.05,103651.69,6.71,421.92,0.06,2.35,0.02,7.48,24.77,196.94,-20.02,234.93,184.78,74.04,20.9,4.01,0.81,0.54,15.44,1.1,-133.94,100.0,4.96
1981.61,5.05,103651.69,6.69,422.52,0.06,2.34,0.02,7.47,24.78,196.99,-19.99,234.86,184.83,73.92,20.84,3.99,0.8,0.54,15.44,1.1,-133.85,100.02,4.96
1981.612,5.06,103651.69,6.67,423.49,0.06,2.34,0.01,7.45,24.77,197.08,-19.97,234.57,184.15,73.62,20.75,3.98,0.8,0.54,15.41,1.1,-133.59,99.98,4.96
1981.615,5.06,103651.69,6.64,424.38,0.06,2.33,0.01,7.45,24.76,197.12,-19.94,234.3,183.34,73.29,20.65,3.96,0.8,0.54,15.38,1.1,-133.39,99.91,4.96
1981.618,5.06,103944.66,6.62,424.89,0.06,2.33,0.01,7.44,24.74,197.2,-19.92,234.18,182.62,72.97,20.56,3.94,0.8,0.53,15.34,1.1,-133.28,99.9,4.96
1981.621,5.05,103775.83,6.61,425.04,0.06,2.32,0.01,7.44,24.73,197.38,-19.87,234.12,181.98,72.69,20.47,3.92,0.79,0.53,15.33,1.1,-133.26,99.86,4.96
1981.6229999999998,5.03,103534.97,6.6,425.02,0.06,2.32,0.01,7.49,24.7,197.42,-19.82,233.57,181.15,72.35,20.37,3.9,0.79,0.53,15.29,1.1,-132.92,99.66,4.97
1981.626,5.02,103699.36,6.64,425.03,0.06,2.34,0.01,7.51,24.76,197.39,-19.83,234.21,180.26,72.0,20.27,3.88,0.79,0.53,15.34,1.1,-133.15,100.06,4.98
1981.629,5.02,103719.16,6.64,425.08,0.06,2.34,0.01,7.51,24.82,197.53,-19.92,235.21,179.37,71.64,20.17,3.87,0.78,0.53,15.38,1.1,-133.61,100.6,4.98
1981.632,5.01,103719.54,6.63,425.19,0.06,2.33,0.01,7.52,24.82,197.88,-19.93,235.12,178.48,71.28,20.07,3.85,0.78,0.53,15.35,1.1,-133.49,100.63,4.98
1981.634,5.0,103541.94,6.62,424.97,0.06,2.33,0.01,7.53,24.79,198.32,-19.9,234.78,177.59,70.93,19.97,3.83,0.78,0.52,15.32,1.1,-133.27,100.52,4.99
1981.6370000000002,5.0,103452.19,6.62,424.66,0.06,2.33,0.02,7.52,24.8,199.02,-19.93,235.27,176.72,70.58,19.88,3.81,0.77,0.52,15.31,1.1,-133.49,100.78,4.99
1981.64,5.01,103452.19,6.64,424.39,0.06,2.33,0.02,7.52,24.81,199.7,-19.95,235.24,175.99,70.29,19.79,3.8,0.77,0.52,15.3,1.1,-133.32,100.92,4.99
1981.642,5.0,103452.19,6.67,424.27,0.06,2.34,0.02,7.51,24.95,200.23,-20.15,237.18,176.65,70.29,19.73,3.78,0.77,0.52,15.5,1.11,-134.38,101.81,4.99
1981.645,5.02,103452.19,6.68,424.29,0.06,2.34,0.02,7.5,25.03,200.59,-20.37,237.93,176.39,70.05,19.65,3.76,0.77,0.52,15.56,1.11,-134.72,102.21,4.99
1981.648,5.01,103452.19,6.68,424.43,0.06,2.34,0.02,7.51,25.05,201.03,-20.48,238.15,175.58,69.72,19.55,3.74,0.76,0.52,15.56,1.11,-134.82,102.34,4.99
1981.651,5.0,103348.25,6.69,424.4,0.06,2.35,0.02,7.54,25.01,201.66,-20.47,237.58,174.74,69.38,19.46,3.73,0.76,0.51,15.53,1.1,-134.49,102.1,4.99
1981.6529999999998,5.01,103552.07,6.71,424.35,0.06,2.35,0.02,7.53,25.05,202.34,-20.47,238.17,173.91,69.05,19.37,3.71,0.76,0.51,15.57,1.11,-134.68,102.49,4.99
1981.656,5.01,103561.27,6.7,424.68,0.06,2.36,0.03,7.54,25.09,202.96,-20.52,238.74,173.11,68.73,19.27,3.69,0.75,0.51,15.59,1.11,-134.87,102.87,5.0
1981.6589999999999,5.03,103497.81,6.69,424.54,0.06,2.35,0.03,7.52,25.12,203.43,-20.64,239.75,172.28,68.4,19.18,3.68,0.75,0.51,15.6,1.11,-135.21,103.55,4.99
1981.662,5.05,103404.72,6.69,424.27,0.06,2.35,0.04,7.51,25.14,204.19,-20.71,240.25,171.45,68.06,19.09,3.66,0.75,0.51,15.6,1.12,-135.42,103.84,4.99
1981.664,5.05,103493.79,6.7,424.38,0.06,2.36,0.03,7.52,25.13,204.81,-20.68,239.74,170.61,67.73,18.99,3.64,0.75,0.51,15.6,1.11,-135.04,103.72,4.99
1981.6670000000001,5.05,103208.05,6.69,424.31,0.06,2.35,0.02,7.52,25.07,205.29,-20.63,238.95,169.78,67.4,18.9,3.62,0.74,0.5,15.55,1.11,-134.55,103.41,4.99
1981.67,5.05,103017.68,6.71,424.11,0.06,2.36,0.03,7.53,25.11,205.6,-20.71,240.23,168.95,67.06,18.81,3.61,0.74,0.5,15.56,1.11,-135.26,103.98,5.0
1981.6729999999998,5.06,102758.95,6.71,424.18,0.06,2.36,0.02,7.52,25.08,205.75,-20.67,239.55,168.12,66.73,18.71,3.59,0.74,0.5,15.53,1.11,-134.84,103.72,5.0
1981.675,5.05,102758.95,6.72,423.95,0.06,2.36,0.02,7.53,25.07,205.96,-20.65,239.5,167.29,66.4,18.62,3.57,0.73,0.5,15.51,1.11,-134.75,103.76,5.0
1981.6779999999999,5.05,102758.95,6.71,424.09,0.06,2.35,0.02,7.52,25.1,206.36,-20.7,239.69,166.46,66.07,18.53,3.56,0.73,0.5,15.51,1.11,-134.84,103.86,5.0
1981.681,5.04,102758.95,6.7,424.06,0.06,2.35,0.02,7.52,25.07,206.94,-20.69,239.06,165.64,65.75,18.44,3.54,0.73,0.5,15.48,1.1,-134.47,103.6,5.0
1981.684,5.03,102758.95,6.7,423.82,0.06,2.35,0.02,7.53,25.01,207.41,-20.64,238.6,169.84,67.35,18.76,3.54,0.73,0.5,15.42,1.1,-134.2,103.42,5.0
1981.6860000000001,5.03,102567.55,6.7,423.53,0.06,2.35,0.01,7.53,24.97,207.89,-20.58,238.01,176.65,69.11,18.99,3.53,0.72,0.49,15.4,1.1,-133.85,103.18,5.0
1981.6889999999999,5.03,103002.41,6.75,423.41,0.06,2.36,0.01,7.54,24.96,208.24,-20.47,237.59,176.88,69.01,18.92,3.52,0.72,0.49,15.37,1.09,-133.51,103.09,5.0
1981.692,5.02,102709.15,6.77,423.29,0.06,2.36,0.01,7.55,24.95,208.64,-20.38,237.11,176.1,68.69,18.83,3.5,0.72,0.49,15.34,1.09,-133.18,102.94,5.01
1981.695,5.02,102343.54,6.78,423.13,0.06,2.37,0.01,7.55,24.99,208.79,-20.48,237.87,175.26,68.36,18.74,3.49,0.72,0.49,15.37,1.09,-133.61,103.28,5.01
1981.6970000000001,5.01,102058.41,6.79,422.76,0.06,2.37,0.02,7.56,24.98,208.76,-20.52,238.32,174.4,68.02,18.65,3.47,0.71,0.49,15.34,1.09,-133.88,103.44,5.01
1981.7,5.01,101827.84,6.8,422.31,0.06,2.36,0.02,7.56,24.99,208.68,-20.59,238.74,173.54,67.69,18.56,3.45,0.71,0.49,15.33,1.1,-134.1,103.65,5.01
1981.703,5.01,101582.96,6.81,421.87,0.06,2.36,0.02,7.56,24.98,208.72,-20.59,238.48,172.68,67.35,18.47,3.44,0.71,0.49,15.3,1.09,-133.95,103.54,5.01
1981.705,5.01,101486.74,6.83,421.53,0.06,2.36,0.02,7.56,24.97,208.62,-20.61,238.32,171.83,67.02,18.38,3.42,0.71,0.48,15.28,1.09,-133.86,103.47,5.01
1981.7079999999999,5.0,101486.74,6.83,420.96,0.06,2.36,0.03,7.58,24.95,208.59,-20.62,238.06,170.98,66.69,18.29,3.41,0.7,0.48,15.23,1.09,-133.71,103.35,5.01
1981.711,4.99,101486.74,6.85,420.34,0.06,2.35,0.03,7.6,24.88,208.49,-20.54,237.38,170.14,66.36,18.2,3.39,0.7,0.48,15.18,1.09,-133.3,103.08,5.01
1981.714,4.98,101486.74,6.9,419.76,0.06,2.36,0.03,7.61,24.85,208.52,-20.46,237.15,169.31,66.03,18.11,3.37,0.7,0.48,15.19,1.09,-133.21,102.94,5.01
1981.7160000000001,5.02,101486.74,7.01,419.64,0.06,2.39,0.02,7.6,24.94,208.62,-20.53,236.98,168.48,65.71,18.03,3.36,0.7,0.48,15.31,1.08,-133.05,102.94,5.01
1981.719,5.03,101511.79,7.01,419.57,0.06,2.39,0.01,7.6,24.93,208.58,-20.58,236.3,167.73,65.45,17.97,3.36,0.7,0.48,15.27,1.08,-132.69,102.62,5.01
1981.7220000000002,5.03,101299.31,7.01,419.32,0.06,2.39,0.01,7.6,24.89,208.82,-20.55,235.77,167.15,65.27,17.94,3.36,0.7,0.48,15.23,1.08,-132.38,102.39,5.01
