,B_mag,Proton_Temp,Proton_dens,Plasma_speed,AP_ratio,Flow_pres,E,Alfven_MN,Kp,R,DST,AE_index,Proton_flux1,Proton_flux2,Proton_flux4,Proton_flux10,Proton_flux30,Proton_flux60,Ap,PC_index,AL_index,AU_index,Mag_MN
1964.001,4.18,93147.94,9.98,404.87,0.04,2.2,-0.04,9.65,19.72,16.1,-4.59,116.67,115.15,49.25,20.47,7.03,2.08,1.04,10.75,1.05,-107.8,66.7,5.85
1964.004,4.18,93094.09,9.98,405.79,0.04,2.2,-0.04,9.65,19.8,16.08,-4.58,117.55,115.19,49.24,20.47,7.02,2.08,1.04,10.82,1.05,-107.72,66.65,5.85
1964.007,4.18,93040.23,9.98,406.66,0.04,2.2,-0.04,9.66,19.87,16.13,-4.59,118.18,115.22,49.23,20.47,7.02,2.08,1.04,10.87,1.05,-107.65,66.6,5.85
1964.01,4.18,92986.38,9.97,407.5,0.04,2.2,-0.04,9.66,19.91,16.14,-4.6,118.78,115.26,49.22,20.46,7.02,2.08,1.04,10.89,1.05,-107.57,66.56,5.85
1964.0120000000002,4.17,92932.53,9.97,408.12,0.04,2.2,-0.04,9.66,19.91,16.14,-4.6,118.92,115.3,49.22,20.46,7.02,2.08,1.04,10.89,1.05,-107.5,66.51,5.85
1964.015,4.17,92878.68,9.97,408.41,0.04,2.2,-0.04,9.66,19.87,16.15,-4.58,118.73,115.34,49.21,20.46,7.02,2.08,1.04,10.86,1.05,-107.42,66.46,5.85
1964.0179999999998,4.17,92824.82,9.96,408.39,0.04,2.2,-0.04,9.67,19.82,16.2,-4.54,118.44,115.38,49.2,20.45,7.01,2.08,1.04,10.82,1.05,-107.34,66.42,5.85
1964.02,4.17,92770.97,9.96,408.27,0.04,2.2,-0.04,9.67,19.77,16.23,-4.5,118.17,115.41,49.19,20.45,7.01,2.08,1.04,10.79,1.05,-107.27,66.37,5.85
1964.023,4.17,92717.12,9.96,408.07,0.04,2.2,-0.04,9.67,19.71,16.24,-4.46,117.86,115.45,49.19,20.45,7.01,2.08,1.04,10.76,1.05,-107.19,66.32,5.85
1964.026,4.17,92663.27,9.96,407.76,0.04,2.2,-0.04,9.68,19.66,16.17,-4.38,117.55,115.49,49.18,20.44,7.01,2.08,1.04,10.73,1.05,-107.12,66.28,5.85
